3, 100, 150, 200
12, 1, 0, 1
49, 2, 0, 1
4, 3, 0, 1
20, 5, 0, 1
49, 5, 0, 1
88, 5, 0, 1
93, 5, 0, 1
95, 5, 0, 1
3, 8, 0, 1
4, 8, 0, 1
20, 8, 0, 1
90, 8, 0, 1
96, 9, 0, 1
9, 10, 0, 1
71, 10, 0, 1
83, 11, 0, 1
92, 12, 0, 1
39, 14, 0, 1
9, 15, 0, 1
99, 15, 0, 1
11, 18, 0, 1
18, 19, 0, 1
44, 19, 0, 1
49, 19, 0, 1
93, 21, 0, 1
39, 22, 0, 1
49, 22, 0, 1
54, 22, 0, 1
56, 22, 0, 1
67, 22, 0, 1
88, 22, 0, 1
96, 22, 0, 1
5, 23, 0, 1
39, 23, 0, 1
44, 23, 0, 1
48, 23, 0, 1
88, 23, 0, 1
59, 26, 0, 1
61, 26, 0, 1
6, 27, 0, 1
10, 27, 0, 1
52, 27, 0, 1
86, 27, 0, 1
66, 29, 0, 1
96, 29, 0, 1
13, 35, 0, 1
78, 35, 0, 1
88, 35, 0, 1
8, 36, 0, 1
9, 36, 0, 2
49, 36, 0, 1
64, 36, 0, 1
95, 36, 0, 1
25, 41, 0, 1
45, 41, 0, 1
54, 41, 0, 1
70, 41, 0, 1
44, 42, 0, 1
44, 43, 0, 1
13, 44, 0, 1
49, 44, 0, 1
75, 44, 0, 1
34, 48, 0, 1
93, 48, 0, 1
39, 50, 0, 1
43, 50, 0, 1
67, 50, 0, 1
82, 50, 0, 1
7, 52, 0, 1
32, 53, 0, 1
44, 53, 0, 1
48, 53, 0, 1
10, 55, 0, 1
43, 55, 0, 1
61, 55, 0, 1
82, 55, 0, 1
86, 55, 0, 1
9, 56, 0, 1
65, 56, 0, 1
5, 58, 0, 1
19, 58, 0, 1
50, 58, 0, 1
60, 58, 0, 1
67, 58, 0, 1
38, 59, 0, 1
19, 62, 0, 1
31, 67, 0, 1
76, 67, 0, 1
19, 69, 0, 1
95, 70, 0, 1
4, 72, 0, 1
66, 73, 0, 1
86, 73, 0, 1
9, 75, 0, 1
19, 76, 0, 1
65, 76, 0, 1
22, 78, 0, 1
34, 78, 0, 1
55, 78, 0, 1
42, 81, 0, 1
92, 81, 0, 1
16, 82, 0, 1
29, 82, 0, 1
87, 86, 0, 1
20, 87, 0, 1
74, 87, 0, 1
64, 90, 0, 1
87, 91, 0, 1
9, 93, 0, 2
42, 93, 0, 1
65, 93, 0, 2
76, 93, 0, 1
80, 93, 0, 1
21, 95, 0, 1
55, 95, 0, 2
65, 95, 0, 1
78, 95, 0, 1
80, 95, 0, 1
6, 96, 0, 1
13, 97, 0, 1
44, 97, 0, 1
53, 97, 0, 1
12, 99, 0, 1
6, 102, 0, 1
63, 102, 0, 1
21, 103, 0, 1
66, 103, 0, 1
39, 104, 0, 1
4, 105, 0, 2
8, 105, 0, 1
51, 105, 0, 1
68, 105, 0, 1
4, 107, 0, 1
57, 107, 0, 1
94, 107, 0, 1
51, 108, 0, 1
88, 108, 0, 1
2, 111, 0, 1
6, 112, 0, 1
4, 113, 0, 2
74, 113, 0, 1
55, 114, 0, 1
83, 114, 0, 1
57, 120, 0, 1
4, 121, 0, 1
3, 123, 0, 1
22, 123, 0, 1
82, 123, 0, 1
13, 124, 0, 1
9, 127, 0, 1
69, 127, 0, 1
80, 127, 0, 1
93, 128, 0, 1
66, 129, 0, 1
80, 130, 0, 1
36, 131, 0, 1
40, 131, 0, 1
71, 131, 0, 1
97, 131, 0, 1
10, 133, 0, 1
34, 135, 0, 1
2, 137, 0, 1
30, 137, 0, 1
93, 137, 0, 1
94, 137, 0, 1
19, 138, 0, 1
67, 138, 0, 1
72, 138, 0, 1
9, 139, 0, 1
61, 139, 0, 1
72, 139, 0, 1
82, 139, 0, 1
85, 139, 0, 1
38, 140, 0, 1
43, 140, 0, 1
80, 142, 0, 1
37, 144, 0, 1
49, 144, 0, 1
9, 146, 0, 1
53, 146, 0, 1
60, 146, 0, 1
4, 149, 0, 1
6, 0, 1, 1
93, 2, 1, 1
23, 8, 1, 1
75, 8, 1, 1
13, 9, 1, 1
25, 13, 1, 1
2, 17, 1, 1
26, 17, 1, 1
46, 17, 1, 1
49, 18, 1, 1
21, 19, 1, 1
76, 19, 1, 1
13, 22, 1, 1
71, 22, 1, 1
5, 23, 1, 1
65, 23, 1, 1
71, 23, 1, 1
79, 27, 1, 1
34, 33, 1, 1
81, 39, 1, 1
34, 40, 1, 1
37, 40, 1, 1
59, 40, 1, 1
78, 40, 1, 1
50, 41, 1, 1
94, 41, 1, 1
13, 42, 1, 1
21, 42, 1, 1
54, 42, 1, 1
65, 53, 1, 1
12, 55, 1, 2
66, 55, 1, 1
55, 56, 1, 1
96, 58, 1, 1
60, 62, 1, 1
78, 62, 1, 1
28, 64, 1, 1
26, 66, 1, 1
9, 77, 1, 1
